start,end,flow,distance,Time
604,653,1,183.08339376122788,T6
604,499,1,121.57855110483032,T6
604,653,1,188.08339376122788,T6
604,653,2,168.08339376122788,T6
604,499,2,101.57855110483032,T6
604,499,2,106.57855110483032,T6
604,653,1,198.08339376122788,T6
604,499,2,121.57855110483032,T6
604,499,4,126.57855110483032,T6
604,653,1,183.08339376122788,T6
604,653,1,228.08339376122788,T6
604,499,1,116.57855110483032,T6
604,499,1,126.57855110483032,T6
604,653,1,173.08339376122788,T6
604,653,1,83.08339376122788,T6
604,499,3,111.57855110483032,T6
604,653,1,198.08339376122788,T6
604,653,1,108.08339376122788,T6
653,604,1,218.08339376122788,T6
650,653,1,265.5988463771659,T6
653,604,1,183.08339376122788,T6
653,604,1,193.08339376122788,T6
650,653,1,305.5988463771659,T6
650,653,1,295.5988463771659,T6
653,604,1,208.08339376122788,T6
650,653,1,295.5988463771659,T6
650,653,1,290.5988463771659,T6
650,653,1,200.5988463771659,T6
653,604,1,198.08339376122788,T6
653,604,1,113.08339376122788,T6
650,653,1,205.5988463771659,T6
650,653,1,290.5988463771659,T7
653,604,1,238.08339376122788,T7
604,653,1,103.08339376122788,T7
248,499,1,148.83101891150187,T7
96,248,1,136.57631366852297,T7
653,604,1,238.08339376122788,T7
653,604,1,138.08339376122788,T7
604,653,1,213.08339376122788,T7
604,499,1,121.57855110483032,T7
604,653,1,213.08339376122788,T7
96,248,1,136.57631366852297,T7
604,653,1,163.08339376122788,T7
604,653,1,138.08339376122788,T7
604,653,1,188.08339376122788,T7
604,499,1,121.57855110483032,T7
604,653,1,218.08339376122788,T7
604,653,1,193.08339376122788,T7
604,499,1,121.57855110483032,T7
653,604,1,168.08339376122788,T7
650,653,1,275.5988463771659,T7
650,653,1,195.5988463771659,T7
653,604,1,173.08339376122788,T7
650,653,1,265.5988463771659,T7
653,604,1,183.08339376122788,T7
650,653,1,150.5988463771659,T7
653,604,1,173.08339376122788,T7
653,604,1,63.083393761227875,T7
604,499,1,76.57855110483032,T7
604,653,1,178.08339376122788,T7
604,653,1,163.08339376122788,T7
604,653,1,153.08339376122788,T7
604,499,1,76.57855110483032,T7
604,653,1,188.08339376122788,T7
604,653,1,168.08339376122788,T7
604,499,1,91.57855110483032,T7
604,499,1,116.57855110483032,T7
604,499,2,121.57855110483032,T7
604,499,2,101.57855110483032,T7
604,653,1,158.08339376122788,T7
604,499,5,121.57855110483032,T7
604,499,7,126.57855110483032,T7
604,653,1,183.08339376122788,T7
604,653,2,178.08339376122788,T7
604,653,1,173.08339376122788,T7
604,499,1,106.57855110483032,T7
604,499,2,111.57855110483032,T7
604,499,1,116.57855110483032,T7
604,653,2,198.08339376122788,T7
604,499,2,131.57855110483032,T7
604,499,1,126.57855110483032,T7
604,653,1,133.08339376122788,T7
604,499,1,101.57855110483032,T7
653,604,1,223.08339376122788,T7
650,653,1,315.5988463771659,T7
650,653,2,305.5988463771659,T7
650,653,1,210.5988463771659,T7
653,604,3,213.08339376122788,T7
650,653,1,295.5988463771659,T7
650,653,1,280.5988463771659,T7
650,653,2,300.5988463771659,T7
650,653,2,295.5988463771659,T7
653,604,2,213.08339376122788,T7
653,604,1,198.08339376122788,T7
650,653,1,290.5988463771659,T7
653,604,1,203.08339376122788,T7
653,604,1,208.08339376122788,T7
650,653,1,155.5988463771659,T7
650,653,1,210.5988463771659,T8
653,650,1,150.5988463771659,T8
653,604,1,88.08339376122788,T8
604,499,1,116.57855110483032,T8
96,248,1,151.57631366852297,T8
650,653,1,210.5988463771659,T8
653,604,1,138.08339376122788,T8
604,653,1,173.08339376122788,T8
604,653,1,183.08339376122788,T8
604,653,1,218.08339376122788,T8
248,96,1,126.57631366852296,T8
96,248,1,131.57631366852297,T8
604,653,1,193.08339376122788,T8
96,248,1,136.57631366852297,T8
604,653,1,223.08339376122788,T8
650,653,1,190.5988463771659,T8
650,653,1,165.5988463771659,T8
653,604,1,253.08339376122788,T8
653,604,1,198.08339376122788,T8
653,604,1,183.08339376122788,T8
653,604,1,188.08339376122788,T8
653,604,1,168.08339376122788,T8
653,604,1,173.08339376122788,T8
650,653,2,265.5988463771659,T8
653,604,2,178.08339376122788,T8
650,653,1,180.5988463771659,T8
653,604,1,63.083393761227875,T8
499,604,1,96.57855110483032,T8
